person_cluster,tokens,variant_tokens,poems,variation_rate,person_category,same_person_confidence
Tambla,2,2,1,1.0,unmapped_possible_person_name,low
Minja,2,0,1,0.0,unmapped_possible_person_name,low
Põtrus,2,2,1,1.0,unmapped_possible_person_name,low
Kirstin,2,0,1,0.0,unmapped_possible_person_name,low
Puutosti,2,1,1,0.5,unmapped_possible_person_name,low
Tarmaste,2,0,2,0.0,unmapped_possible_person_name,low
Pukatsson,2,2,1,1.0,unmapped_possible_person_name,low
Koisu,2,0,1,0.0,unmapped_possible_person_name,low
Midli,2,0,2,0.0,unmapped_possible_person_name,low
Must,2,2,1,1.0,unmapped_possible_person_name,low
Vaisi,2,0,1,0.0,unmapped_possible_person_name,low
Vainupää,2,0,1,0.0,unmapped_possible_person_name,low
Kola,2,0,2,0.0,unmapped_possible_person_name,low
Kolda,2,0,1,0.0,unmapped_possible_person_name,low
Riitanter,2,0,1,0.0,unmapped_possible_person_name,low
Koli,2,0,1,0.0,unmapped_possible_person_name,low
Kuramaa,2,0,1,0.0,unmapped_possible_person_name,low
Taku,2,0,2,0.0,unmapped_possible_person_name,low
Migul,2,2,1,1.0,unmapped_possible_person_name,low
Koljola,2,0,2,0.0,unmapped_possible_person_name,low
Kolppina,2,0,1,0.0,unmapped_possible_person_name,low
Tatu,2,0,2,0.0,unmapped_possible_person_name,low
Riitu,2,0,2,0.0,unmapped_possible_person_name,low
Merola,2,0,1,0.0,unmapped_possible_person_name,low
Teemu,2,0,2,0.0,unmapped_possible_person_name,low
Rikki,2,0,2,0.0,unmapped_possible_person_name,low
Rillukka,2,0,1,0.0,unmapped_possible_person_name,low
Puavali,2,0,2,0.0,unmapped_possible_person_name,low
Uutti,2,0,1,0.0,unmapped_possible_person_name,low
Koiska,2,0,1,0.0,unmapped_possible_person_name,low
Pumpu,2,0,1,0.0,unmapped_possible_person_name,low
Kirstina,2,0,1,0.0,unmapped_possible_person_name,low
Kodasoo,2,0,1,0.0,unmapped_possible_person_name,low
Miittu,2,0,1,0.0,unmapped_possible_person_name,low
Tarmo,2,1,2,0.5,unmapped_possible_person_name,low
Kitus,2,0,1,0.0,unmapped_possible_person_name,low
Puustelli,2,0,1,0.0,unmapped_possible_person_name,low
Miiru,2,0,1,0.0,unmapped_possible_person_name,low
Miira,2,0,1,0.0,unmapped_possible_person_name,low
Vanar,2,0,2,0.0,unmapped_possible_person_name,low
Rietto,2,0,1,0.0,unmapped_possible_person_name,low
Valma,2,0,2,0.0,unmapped_possible_person_name,low
Tati,2,0,1,0.0,unmapped_possible_person_name,low
Miiling,2,0,1,0.0,unmapped_possible_person_name,low
Valetta,2,0,1,0.0,unmapped_possible_person_name,low
Miikkola,2,0,2,0.0,unmapped_possible_person_name,low
Kogu,2,2,1,1.0,unmapped_possible_person_name,low
Puola,2,0,2,0.0,unmapped_possible_person_name,low
Talina,2,0,2,0.0,unmapped_possible_person_name,low
Riig,2,1,2,0.5,unmapped_possible_person_name,low
Riino,2,0,1,0.0,unmapped_possible_person_name,low
Koijoi,2,0,1,0.0,unmapped_possible_person_name,low
Punn,2,0,2,0.0,unmapped_possible_person_name,low
Riio,2,0,2,0.0,unmapped_possible_person_name,low
Pundi,2,0,1,0.0,unmapped_possible_person_name,low
Pill,2,0,1,0.0,unmapped_possible_person_name,low
Tibi,2,0,1,0.0,unmapped_possible_person_name,low
Tõrva,2,0,1,0.0,unmapped_possible_person_name,low
Toro,2,2,1,1.0,unmapped_possible_person_name,low
Tika,2,0,2,0.0,unmapped_possible_person_name,low
Siiri,2,0,2,0.0,unmapped_possible_person_name,low
Pada,2,0,1,0.0,unmapped_possible_person_name,low
Sikke,2,0,2,0.0,unmapped_possible_person_name,low
Torkko,2,0,2,0.0,unmapped_possible_person_name,low
Leoke,2,0,1,0.0,unmapped_possible_person_name,low
Till,2,0,2,0.0,unmapped_possible_person_name,low
Lesonen,2,0,1,0.0,unmapped_possible_person_name,low
Tilleri,2,0,2,0.0,unmapped_possible_person_name,low
Tora,2,0,2,0.0,unmapped_possible_person_name,low
Liberland,2,0,1,0.0,unmapped_possible_person_name,low
Siku,2,1,2,0.5,unmapped_possible_person_name,low
Lienu,2,0,1,0.0,unmapped_possible_person_name,low
Tillerman,2,0,1,0.0,unmapped_possible_person_name,low
Paats,2,0,1,0.0,unmapped_possible_person_name,low
Lieru,2,1,2,0.5,unmapped_possible_person_name,low
Liferland,2,0,1,0.0,unmapped_possible_person_name,low
Lihuvere,2,0,2,0.0,unmapped_possible_person_name,low
Lihverland,2,2,1,1.0,unmapped_possible_person_name,low
Liiderland,2,0,1,0.0,unmapped_possible_person_name,low
Toots,2,0,1,0.0,unmapped_possible_person_name,low
Sillu,2,1,1,0.5,unmapped_possible_person_name,low
Toosle,2,0,1,0.0,unmapped_possible_person_name,low
Maeja,2,1,2,0.5,unmapped_possible_person_name,low
Tiiukene,2,1,2,0.5,unmapped_possible_person_name,low
Paul,2,0,2,0.0,unmapped_possible_person_name,low
Lello,2,0,1,0.0,unmapped_possible_person_name,low
Traks,2,0,2,0.0,unmapped_possible_person_name,low
Sergei,2,1,2,0.5,unmapped_possible_person_name,low
Toutka,2,0,1,0.0,unmapped_possible_person_name,low
Maiel,2,2,1,1.0,unmapped_possible_person_name,low
Nõu,2,0,2,0.0,unmapped_possible_person_name,low
Leegerpung,2,0,1,0.0,unmapped_possible_person_name,low
Palu,2,0,1,0.0,unmapped_possible_person_name,low
Nömba,2,0,1,0.0,unmapped_possible_person_name,low
Maia,2,0,1,0.0,unmapped_possible_person_name,low
Palmse,2,0,1,0.0,unmapped_possible_person_name,low
Sompa,2,0,1,0.0,unmapped_possible_person_name,low
Pall,2,0,1,0.0,unmapped_possible_person_name,low
Leeno,2,0,2,0.0,unmapped_possible_person_name,low
Siigi,2,0,1,0.0,unmapped_possible_person_name,low
Leenukene,2,2,1,1.0,unmapped_possible_person_name,low
Tiiu (name),2,1,2,0.5,unmapped_possible_person_name,low
Palari,2,0,1,0.0,unmapped_possible_person_name,low
Tott,2,0,1,0.0,unmapped_possible_person_name,low
Leereland,2,0,1,0.0,unmapped_possible_person_name,low
Mahola,2,0,1,0.0,unmapped_possible_person_name,low
Leevälats,2,0,1,0.0,unmapped_possible_person_name,low
Mahikki,2,0,2,0.0,unmapped_possible_person_name,low
Lekkermanni,2,2,1,1.0,unmapped_possible_person_name,low
Sokka,2,0,1,0.0,unmapped_possible_person_name,low
Toorami,2,0,2,0.0,unmapped_possible_person_name,low
Tillin,2,1,2,0.5,unmapped_possible_person_name,low
Soja,2,0,1,0.0,unmapped_possible_person_name,low
Tobias,2,2,2,1.0,unmapped_possible_person_name,low
Osmi,2,0,1,0.0,unmapped_possible_person_name,low
Lokka,2,1,2,0.5,unmapped_possible_person_name,low
Simu,2,0,2,0.0,unmapped_possible_person_name,low
Sinisalu,2,0,2,0.0,unmapped_possible_person_name,low
Loobu,2,0,1,0.0,unmapped_possible_person_name,low
Lyyr,2,0,1,0.0,unmapped_possible_person_name,low
Lotta,2,1,2,0.5,unmapped_possible_person_name,low
Sinna (prop.n.),2,2,1,1.0,unmapped_possible_person_name,low
Oovlari,2,0,1,0.0,unmapped_possible_person_name,low
Lyydi,2,0,1,0.0,unmapped_possible_person_name,low
Onuhri,2,0,1,0.0,unmapped_possible_person_name,low
Onni,2,0,2,0.0,unmapped_possible_person_name,low
Ondroi,2,0,1,0.0,unmapped_possible_person_name,low
Sirviö,2,0,1,0.0,unmapped_possible_person_name,low
Luikki,2,0,2,0.0,unmapped_possible_person_name,low
Timperi,2,0,2,0.0,unmapped_possible_person_name,low
Luiste,2,0,1,0.0,unmapped_possible_person_name,low
Luisu,2,0,1,0.0,unmapped_possible_person_name,low
Lukeri,2,0,1,0.0,unmapped_possible_person_name,low
Ollart,2,0,2,0.0,unmapped_possible_person_name,low
Tinttilä,2,0,1,0.0,unmapped_possible_person_name,low
Tintta,2,0,2,0.0,unmapped_possible_person_name,low
Loatukka,2,0,1,0.0,unmapped_possible_person_name,low
Liukku,2,0,1,0.0,unmapped_possible_person_name,low
Lyyti/Lyydia,2,2,1,1.0,unmapped_possible_person_name,low
Liiva,2,0,1,0.0,unmapped_possible_person_name,low
Simandro (proper),2,0,1,0.0,unmapped_possible_person_name,low
Paappola,2,0,2,0.0,unmapped_possible_person_name,low
Liippo (name),2,0,1,0.0,unmapped_possible_person_name,low
Paadla,2,0,2,0.0,unmapped_possible_person_name,low
Soava,2,0,1,0.0,unmapped_possible_person_name,low
Liiso,2,0,2,0.0,unmapped_possible_person_name,low
Simm,2,0,1,0.0,unmapped_possible_person_name,low
Outi,2,2,2,1.0,unmapped_possible_person_name,low
Liissilään,2,2,1,1.0,unmapped_possible_person_name,low
Simmu,2,0,2,0.0,unmapped_possible_person_name,low
Liiverland,2,0,1,0.0,unmapped_possible_person_name,low
Lyö,2,0,1,0.0,unmapped_possible_person_name,low
Liivo,2,2,1,1.0,unmapped_possible_person_name,low
Lilja,2,0,1,0.0,unmapped_possible_person_name,low
Otsma,2,0,1,0.0,unmapped_possible_person_name,low
Tommi,2,1,2,0.5,unmapped_possible_person_name,low
Oti,2,0,2,0.0,unmapped_possible_person_name,low
Tolli,2,0,1,0.0,unmapped_possible_person_name,low
Ospits,2,0,1,0.0,unmapped_possible_person_name,low
Osmola,2,0,1,0.0,unmapped_possible_person_name,low
Toivo,2,0,2,0.0,unmapped_possible_person_name,low
Lissu,2,0,1,0.0,unmapped_possible_person_name,low
Sepulin saari,2,2,1,1.0,unmapped_possible_person_name,low
Laurila,2,0,2,0.0,unmapped_possible_person_name,low
Kuri,2,0,1,0.0,unmapped_possible_person_name,low
Sula,2,0,1,0.0,unmapped_possible_person_name,low
Kyrsinen,2,0,1,0.0,unmapped_possible_person_name,low
Sukku,2,2,1,1.0,unmapped_possible_person_name,low
Pihjala,2,0,1,0.0,unmapped_possible_person_name,low
Suitin,2,0,1,0.0,unmapped_possible_person_name,low
Tii,2,0,2,0.0,unmapped_possible_person_name,low
Saka,2,0,2,0.0,unmapped_possible_person_name,low
Pietteri,2,0,1,0.0,unmapped_possible_person_name,low
Tuuteriin,2,2,1,1.0,unmapped_possible_person_name,low
Pietilä,2,0,2,0.0,unmapped_possible_person_name,low
Kyrönlampi,2,0,2,0.0,unmapped_possible_person_name,low
Suisle,2,0,1,0.0,unmapped_possible_person_name,low
Tuuter & maa,2,2,1,1.0,unmapped_possible_person_name,low
Sakkula,2,0,2,0.0,unmapped_possible_person_name,low
Tuurikkoinen,2,0,2,0.0,unmapped_possible_person_name,low
Saku,2,0,2,0.0,unmapped_possible_person_name,low
Manerkka,2,0,1,0.0,unmapped_possible_person_name,low
Salomo,2,0,2,0.0,unmapped_possible_person_name,low
Tiido,2,0,1,0.0,unmapped_possible_person_name,low
Tuure,2,0,1,0.0,unmapped_possible_person_name,low
Petlik,2,0,1,0.0,unmapped_possible_person_name,low
Käre,2,0,1,0.0,unmapped_possible_person_name,low
Suara,2,0,1,0.0,unmapped_possible_person_name,low
Kärppä,2,0,1,0.0,unmapped_possible_person_name,low
Pihkaheikki,2,0,2,0.0,unmapped_possible_person_name,low
Tuutla,2,0,1,0.0,unmapped_possible_person_name,low
Triigi,2,1,2,0.5,unmapped_possible_person_name,low
Nipitiri,2,0,2,0.0,unmapped_possible_person_name,low
Nikker,2,0,1,0.0,unmapped_possible_person_name,low
Kurista,2,0,2,0.0,unmapped_possible_person_name,low
Teugamoi,2,0,1,0.0,unmapped_possible_person_name,low
Kurna,2,0,2,0.0,unmapped_possible_person_name,low
Nikki,2,0,2,0.0,unmapped_possible_person_name,low
Nikkilä,2,0,2,0.0,unmapped_possible_person_name,low
Piista,2,0,2,0.0,unmapped_possible_person_name,low
Niku,2,0,2,0.0,unmapped_possible_person_name,low
Piippa,2,0,1,0.0,unmapped_possible_person_name,low
Suli,2,1,2,0.5,unmapped_possible_person_name,low
Sulevipoeg,2,0,1,0.0,unmapped_possible_person_name,low
Kusto,2,0,2,0.0,unmapped_possible_person_name,low
Piipari,2,0,1,0.0,unmapped_possible_person_name,low
Sivi,2,1,2,0.5,unmapped_possible_person_name,low
Kuur,2,0,1,0.0,unmapped_possible_person_name,low
Sahala,2,2,2,1.0,unmapped_possible_person_name,low
Manteri,2,1,1,0.5,unmapped_possible_person_name,low
Tyrjä,2,0,2,0.0,unmapped_possible_person_name,low
Kuusoja,2,0,2,0.0,unmapped_possible_person_name,low
Mantel,2,0,1,0.0,unmapped_possible_person_name,low
Kuuttarma,2,0,1,0.0,unmapped_possible_person_name,low
Kuzma,2,0,2,0.0,unmapped_possible_person_name,low
Tuutturi,2,0,1,0.0,unmapped_possible_person_name,low
Kärsa,2,0,2,0.0,unmapped_possible_person_name,low
Nonni,2,0,2,0.0,unmapped_possible_person_name,low
Kärstne,2,0,1,0.0,unmapped_possible_person_name,low
Mall,2,0,1,0.0,unmapped_possible_person_name,low
Tiiteri,2,0,2,0.0,unmapped_possible_person_name,low
Maima,2,0,2,0.0,unmapped_possible_person_name,low
Laina,2,0,1,0.0,unmapped_possible_person_name,low
Sasa,2,2,1,1.0,unmapped_possible_person_name,low
Tuomas & kulta,2,0,2,0.0,unmapped_possible_person_name,low
Nuuri,2,2,1,1.0,unmapped_possible_person_name,low
Lalmanti,2,0,1,0.0,unmapped_possible_person_name,low
Lamm,2,0,1,0.0,unmapped_possible_person_name,low
Lammer,2,0,2,0.0,unmapped_possible_person_name,low
Peiu,2,2,1,1.0,unmapped_possible_person_name,low
Laola,2,0,1,0.0,unmapped_possible_person_name,low
Tuiso,2,0,1,0.0,unmapped_possible_person_name,low
Sasu,2,0,1,0.0,unmapped_possible_person_name,low
Larikkainen,2,0,1,0.0,unmapped_possible_person_name,low
Nyperi,2,0,1,0.0,unmapped_possible_person_name,low
Tsimmon,2,2,1,1.0,unmapped_possible_person_name,low
Lassi & Kaija,2,1,2,0.5,unmapped_possible_person_name,low
Peibes,2,0,1,0.0,unmapped_possible_person_name,low
Latukka,2,2,1,1.0,unmapped_possible_person_name,low
Laukaha,2,2,1,1.0,unmapped_possible_person_name,low
Seer,2,0,1,0.0,unmapped_possible_person_name,low
Seidla,2,0,1,0.0,unmapped_possible_person_name,low
Tanna,2,0,1,0.0,unmapped_possible_person_name,low
Mairikki,2,0,2,0.0,unmapped_possible_person_name,low
Nurme,2,2,1,1.0,unmapped_possible_person_name,low
Laas,2,0,2,0.0,unmapped_possible_person_name,low
Perjo,2,0,1,0.0,unmapped_possible_person_name,low
Pertta,2,1,2,0.5,unmapped_possible_person_name,low
Malina,2,0,1,0.0,unmapped_possible_person_name,low
Käru,2,0,2,0.0,unmapped_possible_person_name,low
Kästik,2,0,1,0.0,unmapped_possible_person_name,low
Tiijainen,2,0,1,0.0,unmapped_possible_person_name,low
Käär,2,0,1,0.0,unmapped_possible_person_name,low
Maksima,2,0,2,0.0,unmapped_possible_person_name,low
Turula,2,0,2,0.0,unmapped_possible_person_name,low
Kõnnu,2,0,1,0.0,unmapped_possible_person_name,low
Noring,2,0,1,0.0,unmapped_possible_person_name,low
Küti,2,1,2,0.5,unmapped_possible_person_name,low
Turgimaa,2,0,2,0.0,unmapped_possible_person_name,low
Turoi,2,0,2,0.0,unmapped_possible_person_name,low
Laagle,2,1,2,0.5,unmapped_possible_person_name,low
Makari,2,0,1,0.0,unmapped_possible_person_name,low
Makara,2,0,1,0.0,unmapped_possible_person_name,low
Samuel,2,2,2,1.0,unmapped_possible_person_name,low
Sandi,2,0,2,0.0,unmapped_possible_person_name,low
Mait,2,2,1,1.0,unmapped_possible_person_name,low
Sparre,2,0,1,0.0,unmapped_possible_person_name,low
Penttinen,2,0,2,0.0,unmapped_possible_person_name,low
Sanna,2,0,2,0.0,unmapped_possible_person_name,low
Molotša,2,0,1,0.0,unmapped_possible_person_name,low
öörilased,2,2,1,1.0,unmapped_possible_person_name,low
leivo,2,0,1,0.0,unmapped_possible_person_name,low
Iikki,2,1,2,0.5,unmapped_possible_person_name,low
Härma,2,0,2,0.0,unmapped_possible_person_name,low
Hüljo,2,0,1,0.0,unmapped_possible_person_name,low
Ida,2,0,2,0.0,unmapped_possible_person_name,low
Ierika,2,1,1,0.5,unmapped_possible_person_name,low
Ierikka,2,0,2,0.0,unmapped_possible_person_name,low
Ieru,2,0,1,0.0,unmapped_possible_person_name,low
kampela & Maija,2,2,2,1.0,unmapped_possible_person_name,low
Ignatius,2,2,1,1.0,unmapped_possible_person_name,low
Ihalmo,2,0,1,0.0,unmapped_possible_person_name,low
Iida,2,0,2,0.0,unmapped_possible_person_name,low
Iigaste,2,0,1,0.0,unmapped_possible_person_name,low
Iina,2,0,1,0.0,unmapped_possible_person_name,low
Hämäläinen,2,0,2,0.0,unmapped_possible_person_name,low
kaijukka+inen,2,2,2,1.0,unmapped_possible_person_name,low
Iitam,2,0,2,0.0,unmapped_possible_person_name,low
Iiu,2,0,2,0.0,unmapped_possible_person_name,low
Iivanitsa,2,0,1,0.0,unmapped_possible_person_name,low
Iivoilinna,2,1,2,0.5,unmapped_possible_person_name,low
kadriku,2,2,1,1.0,unmapped_possible_person_name,low
kadrikene,2,0,2,0.0,unmapped_possible_person_name,low
Ilmolainen,2,2,1,1.0,unmapped_possible_person_name,low
Ilpo,2,0,1,0.0,unmapped_possible_person_name,low
kaakila,2,0,1,0.0,unmapped_possible_person_name,low
Immeri,2,0,2,0.0,unmapped_possible_person_name,low
Hänge,2,0,1,0.0,unmapped_possible_person_name,low
kellari & Leena,2,2,2,1.0,unmapped_possible_person_name,low
Inglise&maa,2,2,1,1.0,unmapped_possible_person_name,low
kolkko,2,0,1,0.0,unmapped_possible_person_name,low
Hoolender,2,0,1,0.0,unmapped_possible_person_name,low
kuppari & Kirsti,2,1,2,0.5,unmapped_possible_person_name,low
Hormus,2,0,1,0.0,unmapped_possible_person_name,low
kupari&Kirsti,2,1,2,0.5,unmapped_possible_person_name,low
Hotari,2,0,1,0.0,unmapped_possible_person_name,low
Houvi,2,0,1,0.0,unmapped_possible_person_name,low
Huisso,2,0,2,0.0,unmapped_possible_person_name,low
krõõt,2,0,1,0.0,unmapped_possible_person_name,low
Hulin,2,0,1,0.0,unmapped_possible_person_name,low
kossa,2,0,1,0.0,unmapped_possible_person_name,low
Humma,2,0,1,0.0,unmapped_possible_person_name,low
koli,2,0,1,0.0,unmapped_possible_person_name,low
Hyvölä,2,2,1,1.0,unmapped_possible_person_name,low
Huobri,2,0,1,0.0,unmapped_possible_person_name,low
Huorimus,2,0,1,0.0,unmapped_possible_person_name,low
Hussa,2,0,2,0.0,unmapped_possible_person_name,low
Hussala,2,0,2,0.0,unmapped_possible_person_name,low
Hussi,2,0,2,0.0,unmapped_possible_person_name,low
kilter,2,0,2,0.0,unmapped_possible_person_name,low
Huttula,2,0,2,0.0,unmapped_possible_person_name,low
kesse,2,0,1,0.0,unmapped_possible_person_name,low
Hytelö,2,0,1,0.0,unmapped_possible_person_name,low
Hyty,2,2,1,1.0,unmapped_possible_person_name,low
Hytölä,2,0,1,0.0,unmapped_possible_person_name,low
jula,2,0,1,0.0,unmapped_possible_person_name,low
Ino,2,0,2,0.0,unmapped_possible_person_name,low
Kaisa-Liisa,2,1,2,0.5,unmapped_possible_person_name,low
Jüts,2,2,1,1.0,unmapped_possible_person_name,low
anikka,2,1,2,0.5,unmapped_possible_person_name,low
Juuli,2,0,1,0.0,unmapped_possible_person_name,low
Juura,2,0,1,0.0,unmapped_possible_person_name,low
Juuso,2,0,1,0.0,unmapped_possible_person_name,low
Juuttas,2,0,1,0.0,unmapped_possible_person_name,low
aki,2,0,1,0.0,unmapped_possible_person_name,low
Järva,2,0,1,0.0,unmapped_possible_person_name,low
aadukene,2,1,2,0.5,unmapped_possible_person_name,low
Jässi,2,0,2,0.0,unmapped_possible_person_name,low
Zooru,2,0,1,0.0,unmapped_possible_person_name,low
Jääsken,2,0,1,0.0,unmapped_possible_person_name,low
Yrjä,2,0,1,0.0,unmapped_possible_person_name,low
antaa/Anni,2,2,2,1.0,unmapped_possible_person_name,low
Kaakuri,2,0,2,0.0,unmapped_possible_person_name,low
Ylly,2,0,1,0.0,unmapped_possible_person_name,low
Kaarasa,2,0,1,0.0,unmapped_possible_person_name,low
Kaari,2,1,2,0.5,unmapped_possible_person_name,low
Kaarle,2,1,2,0.5,unmapped_possible_person_name,low
Kaarli,2,0,2,0.0,unmapped_possible_person_name,low
Kaave,2,0,1,0.0,unmapped_possible_person_name,low
Kadi,2,0,1,0.0,unmapped_possible_person_name,low
Kadriina,2,0,1,0.0,unmapped_possible_person_name,low
Vääskölä,2,0,2,0.0,unmapped_possible_person_name,low
Kaihko,2,0,1,0.0,unmapped_possible_person_name,low
Jurkka,2,2,1,1.0,unmapped_possible_person_name,low
Junu,2,0,1,0.0,unmapped_possible_person_name,low
Intsu,2,0,2,0.0,unmapped_possible_person_name,low
Johan,2,0,1,0.0,unmapped_possible_person_name,low
Inverska,2,0,1,0.0,unmapped_possible_person_name,low
Iroi,2,0,1,0.0,unmapped_possible_person_name,low
Iroini,2,0,1,0.0,unmapped_possible_person_name,low
jaanike,2,2,2,1.0,unmapped_possible_person_name,low
isämeirä,2,0,2,0.0,unmapped_possible_person_name,low
Ivar,2,0,1,0.0,unmapped_possible_person_name,low
Jaakkola,2,0,2,0.0,unmapped_possible_person_name,low
hämäläinen,2,2,2,1.0,unmapped_possible_person_name,low
Janne,2,0,2,0.0,unmapped_possible_person_name,low
humma,2,0,2,0.0,unmapped_possible_person_name,low
hotju,2,0,1,0.0,unmapped_possible_person_name,low
Jollo,2,1,1,0.5,unmapped_possible_person_name,low
Junts,2,0,2,0.0,unmapped_possible_person_name,low
Joonatan,2,0,2,0.0,unmapped_possible_person_name,low
Jopp,2,0,1,0.0,unmapped_possible_person_name,low
Joukonen,2,0,1,0.0,unmapped_possible_person_name,low
Jouus,2,0,1,0.0,unmapped_possible_person_name,low
esko,2,1,2,0.5,unmapped_possible_person_name,low
Juan,2,0,2,0.0,unmapped_possible_person_name,low
ellen,2,0,2,0.0,unmapped_possible_person_name,low
Jukka,2,0,2,0.0,unmapped_possible_person_name,low
Jukkela,2,0,1,0.0,unmapped_possible_person_name,low
Julia,2,0,1,0.0,unmapped_possible_person_name,low
eeli,2,0,2,0.0,unmapped_possible_person_name,low
Homa,2,0,1,0.0,unmapped_possible_person_name,low
Hohvatitsa,2,0,1,0.0,unmapped_possible_person_name,low
Hirvo,2,0,2,0.0,unmapped_possible_person_name,low
Aspi,2,0,2,0.0,unmapped_possible_person_name,low
Ansu,2,0,2,0.0,unmapped_possible_person_name,low
Antersonni,2,1,2,0.5,unmapped_possible_person_name,low
sopo,2,2,1,1.0,unmapped_possible_person_name,low
sokko,2,0,1,0.0,unmapped_possible_person_name,low
Antso,2,0,2,0.0,unmapped_possible_person_name,low
Anttoo,2,0,1,0.0,unmapped_possible_person_name,low
Anukse,2,0,2,0.0,unmapped_possible_person_name,low
Aposti,2,0,1,0.0,unmapped_possible_person_name,low
sander,2,1,1,0.5,unmapped_possible_person_name,low
saatana,2,0,1,0.0,unmapped_possible_person_name,low
Aruküla,2,0,2,0.0,unmapped_possible_person_name,low
Ats,2,0,2,0.0,unmapped_possible_person_name,low
Annini,2,1,1,0.5,unmapped_possible_person_name,low
reesle,2,0,1,0.0,unmapped_possible_person_name,low
pikkurilli,2,0,2,0.0,unmapped_possible_person_name,low
Duomar,2,0,1,0.0,unmapped_possible_person_name,low
Eeli (proper name),2,1,2,0.5,unmapped_possible_person_name,low
Eelin,2,1,2,0.5,unmapped_possible_person_name,low
Eemeli,2,0,2,0.0,unmapped_possible_person_name,low
Eemokki,2,0,1,0.0,unmapped_possible_person_name,low
Eerikka,2,1,2,0.5,unmapped_possible_person_name,low
Eeru,2,1,2,0.5,unmapped_possible_person_name,low
Ekka,2,0,2,0.0,unmapped_possible_person_name,low
para,2,1,2,0.5,unmapped_possible_person_name,low
Ansa,2,0,1,0.0,unmapped_possible_person_name,low
talla,2,0,2,0.0,unmapped_possible_person_name,low
lassi,2,0,2,0.0,unmapped_possible_person_name,low
Aine,2,0,2,0.0,unmapped_possible_person_name,low
(name) Sopo,2,2,1,1.0,unmapped_possible_person_name,low
Õisu,2,0,2,0.0,unmapped_possible_person_name,low
Aalokki,2,0,1,0.0,unmapped_possible_person_name,low
Aami,2,0,1,0.0,unmapped_possible_person_name,low
Abeli,2,0,1,0.0,unmapped_possible_person_name,low
Ägröi,2,0,1,0.0,unmapped_possible_person_name,low
võru,2,0,1,0.0,unmapped_possible_person_name,low
Aeno,2,0,1,0.0,unmapped_possible_person_name,low
Agu,2,0,2,0.0,unmapped_possible_person_name,low
Ahja,2,1,2,0.5,unmapped_possible_person_name,low
vello,2,0,1,0.0,unmapped_possible_person_name,low
Ainu,2,0,2,0.0,unmapped_possible_person_name,low
Anija,2,0,1,0.0,unmapped_possible_person_name,low
Airu,2,0,2,0.0,unmapped_possible_person_name,low
tõnn,2,0,1,0.0,unmapped_possible_person_name,low
tuuvi,2,0,2,0.0,unmapped_possible_person_name,low
tuuti,2,1,2,0.5,unmapped_possible_person_name,low
tuuri,2,0,2,0.0,unmapped_possible_person_name,low
turkku (dialectal name),2,0,1,0.0,unmapped_possible_person_name,low
Alli (proper noun),2,0,2,0.0,unmapped_possible_person_name,low
Alliste,2,0,2,0.0,unmapped_possible_person_name,low
tiiu,2,0,2,0.0,unmapped_possible_person_name,low
Anderssein,2,0,2,0.0,unmapped_possible_person_name,low
Angeri,2,2,2,1.0,unmapped_possible_person_name,low
Elenus,2,0,1,0.0,unmapped_possible_person_name,low
Elikko,2,0,1,0.0,unmapped_possible_person_name,low
Elinainen,2,0,2,0.0,unmapped_possible_person_name,low
Hemmo,2,1,2,0.5,unmapped_possible_person_name,low
Hekka,2,0,1,0.0,unmapped_possible_person_name,low
Hekko+ni,2,0,1,0.0,unmapped_possible_person_name,low
maie,2,0,2,0.0,unmapped_possible_person_name,low
Hekla,2,0,1,0.0,unmapped_possible_person_name,low
Hekon,2,2,1,1.0,unmapped_possible_person_name,low
Hela,2,0,2,0.0,unmapped_possible_person_name,low
Hele,2,0,1,0.0,unmapped_possible_person_name,low
Helina,2,0,2,0.0,unmapped_possible_person_name,low
lõõri,2,0,1,0.0,unmapped_possible_person_name,low
lovi & Liisa,2,1,2,0.5,unmapped_possible_person_name,low
lotta,2,2,2,1.0,unmapped_possible_person_name,low
Hents,2,0,1,0.0,unmapped_possible_person_name,low
Ell,2,1,2,0.5,unmapped_possible_person_name,low
lilli,2,0,1,0.0,unmapped_possible_person_name,low
Hermikki,2,0,2,0.0,unmapped_possible_person_name,low
Heveri,2,0,1,0.0,unmapped_possible_person_name,low
Hiidola,2,0,1,0.0,unmapped_possible_person_name,low
lempo,2,0,1,0.0,unmapped_possible_person_name,low
leini,2,0,1,0.0,unmapped_possible_person_name,low
Hilpo,2,0,1,0.0,unmapped_possible_person_name,low
Hilta,2,1,2,0.5,unmapped_possible_person_name,low
leenu,2,0,1,0.0,unmapped_possible_person_name,low
Hindrik,2,0,1,0.0,unmapped_possible_person_name,low
leena,2,2,2,1.0,unmapped_possible_person_name,low
maijukka+inen,2,2,2,1.0,unmapped_possible_person_name,low
Happo,2,0,1,0.0,unmapped_possible_person_name,low
Handsi,2,0,1,0.0,unmapped_possible_person_name,low
Halitu,2,0,1,0.0,unmapped_possible_person_name,low
paap,2,0,1,0.0,unmapped_possible_person_name,low
osmolainen,2,1,2,0.5,unmapped_possible_person_name,low
Elna,2,0,2,0.0,unmapped_possible_person_name,low
Els,2,0,1,0.0,unmapped_possible_person_name,low
ohto,2,0,2,0.0,unmapped_possible_person_name,low
obu,2,0,1,0.0,unmapped_possible_person_name,low
Enzioi,2,2,1,1.0,unmapped_possible_person_name,low
