area_name,baps_id,cluster,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Soanlahti,192,4,,Väinämöinen,Lemminkäinen,Other,Maria,Jussi/Juss,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,8,51
Sodankylä,193,4,,,,Jeesus,Maria,,Petteri/Petri,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,15
Soikkola,194,3,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Iivana,Pietari,,Kaisa,Anni,Ingria,Ingrian,in,8,254
Somero,195,2,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,21
Sonkajärvi,196,5,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,6,25
Sortavala,197,3,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,8,35
Sotkamo,198,5,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,,Anna,Finland/Savo-Karelia,Finnish,su,7,36
Soutjärvi,199,2,,,,Christ/Kristus,Maria,,Pietari,,Kadri,,East Karelia/Veps/Tver,Veps,ve,4,17
Suistamo,200,2,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,598
Suojärvi,201,4,Ilmarinen,Väinämöinen,Lemminkäinen,Other,Maria,Other,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,9,352
Suomussalmi,202,5,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pekka,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,8,23
Suonenjoki,203,5,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Other,Pekka,,,Anna,Finland/Savo-Karelia,Finnish,su,7,19
Suure-Jaani,204,7,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,281
Sysmä,205,6,,,,Other,,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,4,12
Sääksmäki,206,4,,,,Jeesus,Maria,Jussi/Juss,,,Kaisa,Other,Finland/Savo-Karelia,Finnish,su,5,40
Säämäjärvi,207,6,Ilmarinen,Väinämöinen,,,Maaria,,Pietari,,,Anu,East Karelia/Veps/Tver,Livvi-Karelian,ka,5,10
Tammela,208,2,,,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,42
Tampere,209,2,,,,Christ/Kristus,,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,12
Tartu-Maarja,210,7,,,,,Mari,Jaan,,Other,Kadri,Anne,Estonia core/west,South Estonian,viE,5,51
Tarvastu,211,8,,,,Jeesus,Mari,Hans,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,361
Terijoki,212,1,,,,Jeesus,Mari,Jussi/Juss,,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,5,11
Tervo,213,4,,,,Jeesus,Maria,Jussi/Juss,Pekka,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,14
Tervola,214,6,,,,Jeesus,Maria,Other,Other,,,,Finland/Savo-Karelia,Finnish,su,4,10
Tohmajärvi,215,4,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,8,53
Toksova,216,1,Ilmarinen,Väinämöinen,,Jeesus,Mari,,Pietari,Martti,Kati,Anni,Ingria,Finnish,su,8,45
Tori,217,7,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,201
Torma,218,7,,,,,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,256
Tulemajärvi,219,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maaria,,Petteri/Petri,,,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,69
Turku,220,6,,,,,Maaria,Other,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Tuulos,221,2,,,,Jeesus,Maaria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,13
Tuupovaara,222,4,,Väinämöinen,,Other,Maria,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,33
Tuusniemi,223,3,,Väinämöinen,,,Maija/Maie,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,14
Tyrvää,224,3,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,6,20
Tyrö,225,2,Ilmarinen,Väinämöinen,,Jeesus,Mari,Jussi/Juss,Pietari,,Kaisa,Anni,Ingria,Finnish,su,8,102
Tõstamaa,226,7,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,111
Töysä,227,2,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,5,18
Türi,228,8,,,,Jeesus,Mari,Hans,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,81
Uhtua,229,2,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,East Karelia/Veps/Tver,Karelian Proper,ka,8,47
Urvaste,230,7,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,202
Uskela,231,3,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,48
Uukuniemi,232,6,Ilmarinen,Väinämöinen,,Other,Maaria,,Pietari,,Katri,,East Karelia/Veps/Tver,Finnish,su,6,29
Uusikaupunki,233,5,,,,Christ/Kristus,Maija/Maie,Jussi/Juss,Pekka,,,Anni,Finland/Savo-Karelia,Finnish,su,5,21
Uusikirkko Tl.,234,3,,,Lemminkäinen,,Maija/Maie,,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,10
Vaivara,235,8,,,,,Mari,Ants,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,61
Valtimo,236,1,,Väinämöinen,,Jeesus,,,Pekka,Martti,Katri,,Finland/Savo-Karelia,Finnish,su,5,12
Varbla,237,7,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,105
Varpaisjärvi,238,4,,Väinämöinen,,Jeesus,Maria,,Pekka,,,,Finland/Savo-Karelia,Finnish,su,4,15
Vastseliina,239,8,,,,Jeesus,Maarja,Ants,Other,,Katri,Anne,South Estonia/Seto,South Estonian,viE,6,114
Venjoki,240,2,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,Ingria,Finnish,su,8,54
Vieljärvi,241,4,Ilmarinen,Väinämöinen,,,Maria,,Petteri/Petri,,Katariina/Katriina,Anni,East Karelia/Veps/Tver,Livvi-Karelian,kaA,6,24
Vigala,242,7,,,,Jeesus,Mari,Jaan,Peeter,Other,Kadri,Ann,Estonia core/west,North Estonian,viP,7,151
Vihanti,243,2,Ilmarinen,,,Jeesus,Maria,,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,12
Viitasaari,244,4,,,,,Maria,,Pekka,Mart/Martin,Katri,,Finland/Savo-Karelia,Finnish,su,4,11
Viljandi,245,8,,,,Jeesus,Mari,Hans,Peeter,Märt,Katri,Anne,Estonia core/west,North Estonian,viP,7,318
Virtasalmi,246,5,,,,Jeesus,Mari,Jussi/Juss,Pekka,,Katariina/Katriina,Anna,Finland/Savo-Karelia,Finnish,su,6,14
Viru-Jaagupi,247,7,,,,,Mari,Jaan,,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,5,54
Viru-Nigula,248,8,,,,Jeesus,Mari,Hans,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,7,124
Vuokkiniemi,249,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Mari,Jussi/Juss,Petteri/Petri,,,Anni,East Karelia/Veps/Tver,Karelian Proper,ka,8,138
Vuole,250,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Other,Pietari,Martti,Kati,Anni,Ingria,Finnish,su,10,124
Väike-Maarja,251,8,,,,Jeesus,Mari,Hans,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,154
Vändra,252,8,,,,Jeesus,Mari,Hans,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,166
Võnnu,253,8,,,,,Mari,Hans,Peeter,Märt,Kadri,Ann,Estonia core/west,South Estonian,viE,6,101
Yläne,254,3,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,13
Äksi,255,8,,,,,Mari,Other,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,93
Östmark,256,5,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Other,Pekka,,,,Finland/Savo-Karelia,Finnish,su,6,18
