area_name,baps_id,cluster,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Sangaste,185,3,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,7,120
Sauvo,186,5,,,,Jesus,Maija/Maie,,Peter,,Kati,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,11
Savitaipale,187,2,,Väinämöinen,,Jesus,Mary,,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,14
Savonlinna,188,5,,,,,Maija/Maie,Jussi,Pekka/Pekko,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,14
Seiskari,189,5,,,,Jesus,Mari,,,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,12
Serepetta,190,1,Ilmarinen,,,Jesus,Mary,,Peter,Martin,Katri/Katrina,Anu,Ingria,Finnish,su,7,39
Setumaa,191,8,,,,Jesus,Mary,John/St John,Peter,Martin,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,333
Simo,192,5,,,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,12
Simuna,193,4,,,,Jesus,Maija/Maie,Jaan/Jaani,Peeter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,126
Skuoritsa,194,5,,,,Jesus,,,Peter,,Kati,Anni/Annie,Ingria,Finnish,su,4,16
Soanlahti,195,1,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Ann,East Karelia/Veps/Tver,Finnish,su,8,54
Sodankylä,196,2,,,,Jesus,Mary,,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,16
Soikkola,197,1,Ilmarinen,Väinämöinen,,Jesus,Mary,John/St John,Peter,Martin,Kaisa/Kaie,Anni/Annie,Ingria,Ingrian,in,9,253
Somerniemi,198,2,,,Lemmingäinen/Lemming,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,5,10
Somero,199,1,,,,Jesus,Mary,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,23
Sonkajärvi,200,6,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,7,28
Sortavala,201,1,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Finnish,su,8,49
Sotkamo,202,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,35
Soutjärvi,203,3,,,,Christ,Mary,John/St John,Peter,Mardi/Mard,Catherine/Katherine,,East Karelia/Veps/Tver,Veps,ve,6,10
Suistamo,204,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,641
Suojärvi,205,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Finnish,su,8,345
Suomussalmi,206,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,22
Suonenjoki,207,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,19
Suure-Jaani,208,8,,,,Jesus,Mary,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,7,268
Sysmä,209,2,,,,Jesus,,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,4,12
Sääksmäki,210,1,,,,Jesus,Mary,Jussi,,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,5,38
Tammela,211,1,,,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,44
Tampere,212,5,,,,Christ,,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,12
Tartu-Maarja,213,4,,Väinö/Väinämö,,,Mary,Jaan/Jaani,,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,6,41
Tarvastu,214,8,,,,Jesus,Mari,Ants,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,South Estonian,viE,7,365
Terijoki,215,1,,,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,15
Tervo,216,5,,,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,7,15
Tervola,217,1,,,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,10
Tohmajärvi,218,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,55
Toksova,219,1,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,40
Tori,220,4,,,,Jesus,Mari,Jaan/Jaani,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,176
Torma,221,3,,,,,Mari,Jaan/Jaani,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,249
Tulemajärvi,222,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,75
Turku,223,1,,,,,Mary,John/St John,Peter,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,5,12
Tuulos,224,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,13
Tuupovaara,225,1,,Väinämöinen,,Jesus,Mary,John/St John,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,32
Tuusniemi,226,5,,Väinämöinen,,,Maija/Maie,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,14
Tyrvää,227,2,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,7,23
Tyrö,228,5,Ilmarinen,Väinämöinen,,Jesus,Mari,Jussi,Peter,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,98
Tõstamaa,229,8,,,,Jesus,Mari,John/St John,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,105
Töysä,230,2,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,23
Türi,231,7,,,,Jesus,Mary,Hans,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,88
Uhtua,232,6,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,9,45
Urvaste,233,8,,,,Jesus,Mari,John/St John,Peeter,Märt/Märti,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,195
Uskela,234,5,,,,Jesus,Maija/Maie,Jussi,Peter,,Kati,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,56
Uukuniemi,235,2,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Catherine/Katherine,,East Karelia/Veps/Tver,Finnish,su,6,31
Uusikaupunki,236,5,,,,Christ,Maija/Maie,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,23
Uusikirkko Tl.,237,5,,,Lemminkäinen,,Maija/Maie,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,10
Vaivara,238,3,,,,,Mari,Ants,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,62
Valtimo,239,6,,Väinämöinen,,Jesus,,,Pekka/Pekko,Martin,Katri/Katrina,,Finland/Savo-Karelia,Finnish,su,5,13
Varbla,240,8,,,,,Mari,John/St John,Peeter,Martin,Katri/Katrina,Ann,Estonia core/west,North Estonian,viP,6,107
Varpaisjärvi,241,6,,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,5,15
Vastseliina,242,3,,,,Jesus,Mary,Ants,Peter,,Katri/Katrina,Anne,South Estonia/Seto,South Estonian,viE,6,119
Venjoki,243,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Ann,Ingria,Finnish,su,8,59
Vesilahti,244,2,,,,Jesus,Maija/Maie,Jussi,,,,Anna,Finland/Savo-Karelia,Finnish,su,4,10
Vieljärvi,245,1,Ilmarinen,Väinämöinen,,,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,kaA,5,25
Vigala,246,4,,,,Jesus,Mari,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Ann,Estonia core/west,North Estonian,viP,7,153
Vihanti,247,1,Ilmarinen,,,Jesus,Mary,,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Viitasaari,248,5,,,,,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,,Finland/Savo-Karelia,Finnish,su,4,12
Viljandi,249,7,,,,Jesus,Mary,Hans,Peeter,Märt/Märti,Katri/Katrina,Anne,Estonia core/west,North Estonian,viP,7,326
Virrat,250,5,,,,Jesus,Maija/Maie,,,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,11
Virtasalmi,251,6,,,,Jesus,Mari,Jussi,Pekka/Pekko,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,6,16
Viru-Jaagupi,252,4,,,,,Mari,Jaan/Jaani,,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,5,71
Viru-Nigula,253,7,,,,Jesus,Maija/Maie,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,121
Vuokkiniemi,254,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Petteri/Pietari,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,8,140
Vuole,255,6,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kati,Anni/Annie,Ingria,Finnish,su,9,108
Väike-Maarja,256,7,,,,Jesus,Maija/Maie,Hans,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,166
Vändra,257,7,,,,Jesus,Mari,Hans,,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,159
Võnnu,258,8,,,,,Mary,Hans,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,South Estonian,viE,6,106
Yläne,259,2,,,,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,14
Äksi,260,3,,,,,Mari,Juhan,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,83
Östmark,261,3,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,16
