area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Suomussalmi,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pekka,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,8,23
Suonenjoki,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Other,Pekka,,,Anna,Finland/Savo-Karelia,Finnish,su,7,19
Suure-Jaani,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,281
Sysmä,,,,Other,,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,4,12
Sääksmäki,,,,Jeesus,Maria,Jussi/Juss,,,Kaisa,Other,Finland/Savo-Karelia,Finnish,su,5,40
Säämäjärvi,Ilmarinen,Väinämöinen,,,Maaria,,Pietari,,,Anu,East Karelia/Veps/Tver,Livvi-Karelian,ka,5,10
Tammela,,,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,42
Tampere,,,,Christ/Kristus,,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,12
Tartu-Maarja,,,,,Mari,Jaan,,Other,Kadri,Anne,Estonia core/west,South Estonian,viE,5,51
Tarvastu,,,,Jeesus,Mari,Hans,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,361
Terijoki,,,,Jeesus,Mari,Jussi/Juss,,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,5,11
Tervo,,,,Jeesus,Maria,Jussi/Juss,Pekka,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,14
Tervola,,,,Jeesus,Maria,Other,Other,,,,Finland/Savo-Karelia,Finnish,su,4,10
Tohmajärvi,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,8,53
Toksova,Ilmarinen,Väinämöinen,,Jeesus,Mari,,Pietari,Martti,Kati,Anni,Ingria,Finnish,su,8,45
Tori,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,201
Torma,,,,,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,256
Tulemajärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maaria,,Petteri/Petri,,,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,69
Turku,,,,,Maaria,Other,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Tuulos,,,,Jeesus,Maaria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,13
Tuupovaara,,Väinämöinen,,Other,Maria,,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,33
Tuusniemi,,Väinämöinen,,,Maija/Maie,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,14
Tyrvää,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,6,20
Tyrö,Ilmarinen,Väinämöinen,,Jeesus,Mari,Jussi/Juss,Pietari,,Kaisa,Anni,Ingria,Finnish,su,8,102
Tõstamaa,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,111
Töysä,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,5,18
Türi,,,,Jeesus,Mari,Hans,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,81
Uhtua,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,East Karelia/Veps/Tver,Karelian Proper,ka,8,47
Urvaste,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,202
Uskela,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,48
Uukuniemi,Ilmarinen,Väinämöinen,,Other,Maaria,,Pietari,,Katri,,East Karelia/Veps/Tver,Finnish,su,6,29
Uusikaupunki,,,,Christ/Kristus,Maija/Maie,Jussi/Juss,Pekka,,,Anni,Finland/Savo-Karelia,Finnish,su,5,21
Uusikirkko Tl.,,,Lemminkäinen,,Maija/Maie,,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,10
Vaivara,,,,,Mari,Ants,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,61
Valtimo,,Väinämöinen,,Jeesus,,,Pekka,Martti,Katri,,Finland/Savo-Karelia,Finnish,su,5,12
Varbla,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,105
Varpaisjärvi,,Väinämöinen,,Jeesus,Maria,,Pekka,,,,Finland/Savo-Karelia,Finnish,su,4,15
Vastseliina,,,,Jeesus,Maarja,Ants,Other,,Katri,Anne,South Estonia/Seto,South Estonian,viE,6,114
Venjoki,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,Ingria,Finnish,su,8,54
Vieljärvi,Ilmarinen,Väinämöinen,,,Maria,,Petteri/Petri,,Katariina/Katriina,Anni,East Karelia/Veps/Tver,Livvi-Karelian,kaA,6,24
Vigala,,,,Jeesus,Mari,Jaan,Peeter,Other,Kadri,Ann,Estonia core/west,North Estonian,viP,7,151
Vihanti,Ilmarinen,,,Jeesus,Maria,,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,12
Viitasaari,,,,,Maria,,Pekka,Mart/Martin,Katri,,Finland/Savo-Karelia,Finnish,su,4,11
Viljandi,,,,Jeesus,Mari,Hans,Peeter,Märt,Katri,Anne,Estonia core/west,North Estonian,viP,7,318
Virtasalmi,,,,Jeesus,Mari,Jussi/Juss,Pekka,,Katariina/Katriina,Anna,Finland/Savo-Karelia,Finnish,su,6,14
Viru-Jaagupi,,,,,Mari,Jaan,,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,5,54
Viru-Nigula,,,,Jeesus,Mari,Hans,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,7,124
Vuokkiniemi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Mari,Jussi/Juss,Petteri/Petri,,,Anni,East Karelia/Veps/Tver,Karelian Proper,ka,8,138
Vuole,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Other,Pietari,Martti,Kati,Anni,Ingria,Finnish,su,10,124
Väike-Maarja,,,,Jeesus,Mari,Hans,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,154
Vändra,,,,Jeesus,Mari,Hans,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,166
Võnnu,,,,,Mari,Hans,Peeter,Märt,Kadri,Ann,Estonia core/west,South Estonian,viE,6,101
Yläne,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,13
Äksi,,,,,Mari,Other,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,6,93
Östmark,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Other,Pekka,,,,Finland/Savo-Karelia,Finnish,su,6,18
