area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Sodankylä,,,,Jesus,Mary,,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,16
Soikkola,Ilmarinen,Väinämöinen,,Jesus,Mary,John/St John,Peter,Martin,Kaisa/Kaie,Anni/Annie,Ingria,Ingrian,in,9,253
Somerniemi,,,Lemmingäinen/Lemming,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,5,10
Somero,,,,Jesus,Mary,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,23
Sonkajärvi,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,7,28
Sortavala,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Finnish,su,8,49
Sotkamo,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,35
Soutjärvi,,,,Christ,Mary,John/St John,Peter,Mardi/Mard,Catherine/Katherine,,East Karelia/Veps/Tver,Veps,ve,6,10
Suistamo,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,641
Suojärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Finnish,su,8,345
Suomussalmi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,22
Suonenjoki,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,19
Suure-Jaani,,,,Jesus,Mary,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,7,268
Sysmä,,,,Jesus,,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,4,12
Sääksmäki,,,,Jesus,Mary,Jussi,,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,5,38
Tammela,,,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,44
Tampere,,,,Christ,,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,12
Tartu-Maarja,,Väinö/Väinämö,,,Mary,Jaan/Jaani,,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,6,41
Tarvastu,,,,Jesus,Mari,Ants,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,South Estonian,viE,7,365
Terijoki,,,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,15
Tervo,,,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,7,15
Tervola,,,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,10
Tohmajärvi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,55
Toksova,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,40
Tori,,,,Jesus,Mari,Jaan/Jaani,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,176
Torma,,,,,Mari,Jaan/Jaani,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,249
Tulemajärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,75
Turku,,,,,Mary,John/St John,Peter,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,5,12
Tuulos,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,13
Tuupovaara,,Väinämöinen,,Jesus,Mary,John/St John,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,32
Tuusniemi,,Väinämöinen,,,Maija/Maie,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,14
Tyrvää,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,7,23
Tyrö,Ilmarinen,Väinämöinen,,Jesus,Mari,Jussi,Peter,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,98
Tõstamaa,,,,Jesus,Mari,John/St John,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,105
Töysä,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,23
Türi,,,,Jesus,Mary,Hans,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,88
Uhtua,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,9,45
Urvaste,,,,Jesus,Mari,John/St John,Peeter,Märt/Märti,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,195
Uskela,,,,Jesus,Maija/Maie,Jussi,Peter,,Kati,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,56
Uukuniemi,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Catherine/Katherine,,East Karelia/Veps/Tver,Finnish,su,6,31
Uusikaupunki,,,,Christ,Maija/Maie,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,23
Uusikirkko Tl.,,,Lemminkäinen,,Maija/Maie,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,10
Vaivara,,,,,Mari,Ants,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,62
Valtimo,,Väinämöinen,,Jesus,,,Pekka/Pekko,Martin,Katri/Katrina,,Finland/Savo-Karelia,Finnish,su,5,13
Varbla,,,,,Mari,John/St John,Peeter,Martin,Katri/Katrina,Ann,Estonia core/west,North Estonian,viP,6,107
Varpaisjärvi,,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,5,15
Vastseliina,,,,Jesus,Mary,Ants,Peter,,Katri/Katrina,Anne,South Estonia/Seto,South Estonian,viE,6,119
Venjoki,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Ann,Ingria,Finnish,su,8,59
Vesilahti,,,,Jesus,Maija/Maie,Jussi,,,,Anna,Finland/Savo-Karelia,Finnish,su,4,10
Vieljärvi,Ilmarinen,Väinämöinen,,,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,kaA,5,25
Vigala,,,,Jesus,Mari,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Ann,Estonia core/west,North Estonian,viP,7,153
Vihanti,Ilmarinen,,,Jesus,Mary,,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Viitasaari,,,,,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,,Finland/Savo-Karelia,Finnish,su,4,12
Viljandi,,,,Jesus,Mary,Hans,Peeter,Märt/Märti,Katri/Katrina,Anne,Estonia core/west,North Estonian,viP,7,326
Virrat,,,,Jesus,Maija/Maie,,,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,11
Virtasalmi,,,,Jesus,Mari,Jussi,Pekka/Pekko,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,6,16
Viru-Jaagupi,,,,,Mari,Jaan/Jaani,,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,5,71
Viru-Nigula,,,,Jesus,Maija/Maie,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,121
Vuokkiniemi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Petteri/Pietari,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,8,140
Vuole,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kati,Anni/Annie,Ingria,Finnish,su,9,108
Väike-Maarja,,,,Jesus,Maija/Maie,Hans,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,166
Vändra,,,,Jesus,Mari,Hans,,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,159
Võnnu,,,,,Mary,Hans,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,South Estonian,viE,6,106
Yläne,,,,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,14
Äksi,,,,,Mari,Juhan,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,83
Östmark,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,16
